body,title,url
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


Con 4 mil vuelos al año, la industria de los ascensos en globo aerostático se ha consolidado poco a poco en el gusto de los viajeros y paseantes que visitan Teotihuacán y San Martín de las Pirámides, municipios mexiquenses que comparten el nombramiento de Pueblo Mágico desde 2015.
Aurora González Ledezma, Secretaria de Turismo del Estado de México, señaló que esta actividad, que vio sus inicios con festivales de globos en los años 2003 y 2004, fue ganando adeptos hasta que, en 2005, iniciaron los vuelos independientes que hoy forman parte de los atractivos turísticos que se pueden disfrutar de forma permanente, despegando desde las inmediaciones de la Ciudad Prehispánica de Teotihuacán.
Sin duda, dijo, se trata de una experiencia que llama la atención de turistas nacionales y extranjeros, quienes desean admirar, desde las alturas, uno de los sitios arqueológicos más importantes de México y del mundo.
Detalló que esta actividad registra anualmente el ascenso de 25 a 30 mil pasajeros, que buscan vivir la emoción de elevarse a gran altura en un imponente globo y contemplar esta maravilla del urbanismo y la arquitectura, catalogada, desde 1987, como Patrimonio Cultural de la Humanidad por la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO).
Actualmente, son seis las empresas que ofrecen este servicio, dando trabajo a 200 personas, aproximadamente, que laboran a diario para atender una alta demanda de vuelos, misma que se incrementa continuamente a un ritmo acelerado del 15 al 25 por ciento anual, lo que augura un crecimiento sostenido para los próximos años.
La funcionaria destacó que, tanto San Martín de las Pirámides como Teotihuacán, cuentan con atractivos arqueológicos y culturales, que, aunados a su oferta de hospedaje, artesanal y gastronómica, hacen de este lugar un punto obligado para quienes visitan el Estado de México.
VER: La triste historia del Toreo de Cuatro Caminos
",Los maravillosos vuelos en Teotihuacán | FOTOS,http://www.unionedomex.mx/articulo/2019/08/26/turismo/los-maravillosos-vuelos-en-teotihuacan-fotos
"
El encantador de perros, César Millán, llegó este domingo en la Arena Ciudad de México para “transformar” la forma en la que conviven humanos y perros.
""Yo entreno humanos y rehabilito perros"", dijo Millán, quien destacó que una de las claves de una sana convivencia es entender las necesidades del canino. 
Apoyado por videos con testimonios y diapositivas, el encantador contó su experiencia, puso ejemplos con perritos que subieron al escenario con sus dueños y habló del racismo que existe hasta en razas de perros y por ello, dijo, a él le gusta verse como el mexicano con un pitbull que están cambiando al mundo. Hizo bromas, dio ejemplos de cómo agarrar y pasear a los canes y lo más importante: mostró cómo mantenerlos tranquilos.
""La razón por la que yo tengo un show es porque la gente no sabe relajar a su perro"", dijo desde el escenario.
La Arena Ciudad de México registró poca afluencia para su capacidad: se reunieron en la Arena 4 mil 465 asistentes.
En la recta final, el encantador dio la bienvenida al mayor veterinario José Ramón Martínez, quien habló de la labor que hacen los perros de rescate en el país, como Pasta y Pánico. Este último rescató a seis personas vivas durante el sismo de 2017 y ayudó a la localización de ocho cadáveres. 
“El perro lo utilizamos para que nos dé seguridad durante el trabajo. Nosotros los criamos desde cachorros, es todo el proceso y es una satisfacción total cuando los perros reaccionan como debe de ser”, comentó el mayor.
En el lugar hicieron una pequeña demostración para la que recrearon un desastre en el que el perrito utilizó su olfato. También les dieron reconocimientos por su labor y la gente aplaudió fuertemente.
El encuentro terminó alrededor de las ocho de la noche con más aplausos y un Césan Millán que en todo momento mostró su alegría por estar en el país.
nrv
",César Millán habla del racismo en razas de perros,http://www.eluniversal.com.mx/espectaculos/cesar-millan-habla-del-racismo-en-razas-de-perros
"

Brasilia.— El ministro de Medio Ambiente de Brasil, Ricardo Salles, criticó la movilización de diferentes líderes mundiales por los incendios en la Amazonia y calificó de “bobada” decir que “el Amazonas pertenece a toda la humanidad.

“El Amazonas no es el pulmón del mundo. Eso ya se ha dicho y está reconocido. La Amazonia tiene su ciclo cerrado. Emite lo que ella misma consume (...) Es un patrimonio brasileño. Esa historia de que pertenece a la humanidad es una bobería. Nosotros tenemos la soberanía sobre la Amazonia”, subrayó durante una entrevista con el diario Estadao.

Declaró: “Somos los que tenemos que escoger y los que tenemos que implementar [acciones]”. De acuerdo con datos del Instituto de Investigación Espacial de Brasil (Inpe), en lo que va de año los incendios han aumentado 83% respecto al mismo periodo de 2018.

En 2019 ha contabilizado 72 mil 843 incendios, el número más alto desde que se alcanzó el anterior récord en 2013. Entre el 15 y el 20 de agosto, los satélites contabilizaron 9 mil 500 conflagraciones.

Para combatir los incendios, el ministro de Defensa de Brasil, Fernando Azevedo e Silva, anunció que las Fuerzas Armadas ya han empezado los trabajos de combate a los incendios y crímenes ambientales en la Amazonia, región que cuenta con un contingente de 44 mil militares distribuidos.

Los estados de Pará, Rondonia, Roraima, Tocantíns, Mato Grosso y Acre solicitaron ayuda militar.

En Bolivia, la superficie arrasada por los incendios subió a 950 mil hectáreas, según datos oficiales, a pesar de las operaciones que desde el viernes realiza el avión cisterna de Boeing SuperTanker 747-400. También hay operaciones más focalizadas a cargo de helicópteros militares.
",“Amazonas no pertenece a la humanidad... eso es una bobería”,https://www.eluniversal.com.mx/mundo/amazonas-no-pertenece-la-humanidad-eso-es-una-boberia
"

Hace unos días el Instituto Nacional de Estadística y Geografía (Inegi) publicó las cifras definitivas sobre el Producto Interno Bruto (PIB) en el segundo trimestre del año. Habían sido publicadas con anterioridad las cifras preliminares, o las estadísticas oportunas como las llama el Inegi, las cuales sugerían que la economía había crecido un 0.1% del primero al segundo trimestre del año. Pero ahora las cifras oficiales marcan que la economía no creció, se estancó.

Ahora bien, como se tratará de clarificar en esta columna, esas cifras no son las más importantes a considerar. Para explicar el asunto, comencemos recordando que el PIB representa el valor en pesos de los bienes y servicios finales producidos en un periodo dado. Este indicador no está, por cierto, libre de críticas. Por ejemplo, no considera que la producción de hoy puede afectar la producción futura, como sería el caso de, digamos, un incremento en la producción ganadera que haya sido a costa de una deforestación.

El PIB proviene de tres diferentes sectores: el primario, que incluye actividades como la producción agrícola; el secundario, con actividades como las manufactureras; y el terciario, que incluye servicios tales como el turismo o la educación. Además, el Inegi estima regularmente el PIB de cada trimestre y anualiza su estimación multiplicándola por cuatro. Para dar la cifra del PIB de todo el año simplemente suma la cuatro cifras trimestrales y las divide entre cuatro.

Un punto que algunas veces se olvida es que no es fácil comparar el PIB de un trimestre con el del periodo anterior, o con el del mismo trimestre del año anterior. La razón es que hay factores estacionales que entran en juego. El caso de la Semana Santa es el más evidente, pues durante esos siete días se reduce de manera notable la producción no ligada a las actividades turísticas. Hay años en que esa semana cae justo en marzo, como lo fue en 2018, pero también hay otros cuando cae en abril, como en este año. Es por ello que, para hacer comparables las cifras, el Inegi las trata de “desestacionalizar”.

Las tasas de crecimiento de esas cifras desestacionalizadas son las que comúnmente se mencionan en los medios. Así por ejemplo, el Inegi estima que el PIB registrado en el primer trimestre del año cayó 0.2% respecto al del último trimestre de 2018, y que el PIB del segundo trimestre no creció respecto al primero, pues estima una tasa de 0.0%. Yendo más al detalle uno puede calcular que ese cero porciento es por el redondeo de un crecimiento muy pequeño: 0.02%. Por tanto, como los dos últimos cambios porcentuales fueron -0.2% y 0.02%, la economía no está en recesión técnica, aunque sí al borde de estarlo.

Pero en realidad los porcentajes más interesantes no son esos, sino los que provienen de los datos del PIB sin el ajuste estacional. Paradójicamente, estos porcentajes están siempre en la última columna de la última tabla de los comunicados de prensa del Inegi. En el comunicado del 24 de mayo puede encontrarse el porcentaje de crecimiento más interesante, el del PIB del primer semestre, no trimestre, de 2019 respecto al del 2018. La tasa de crecimiento fue apenas 0.2%. El sector primario tuvo un buen crecimiento, 3.4%, y el sector terciario uno moderado, 0.9%. Pero el sector secundario cayó 1.8%, debido a una contracción notable en las actividades ligadas a la construcción y al petróleo.

Volviendo al crecimiento de 0.2% del PIB semestral respecto al del año pasado, ese porcentaje es tan bajo que pueden ya conjeturarse cotas al crecimiento del PIB que se alcanzará en 2019 respecto al del 2018. En particular, parece literalmente imposible que se alcance un crecimiento anual del 2%, como fue establecido en los criterios económicos aprobados el pasado diciembre. Más aún, parece improbable que el crecimiento del PIB pueda alcanzar inclusive el umbral del 1%.

Profesor titular del Tecnológico de Monterrey
",El estancamiento,https://www.eluniversal.com.mx/opinion/carlos-m-urzua/el-estancamiento
"
Carlos Vela salió bufando del campo. El delantero mexicano no quería abandonar el terreno dejuego, sentía que su equipo, Los Ángeles F.C, podían ganarle al Galaxy en el clásico de la ciudad. Al final todo quedó 3-3.
Pero Bob Bradley decidió sustituirlo porque lo vio lesionado, lo que provocó un arranque de furia del mundialista por México, una reacción que se vio en todas partes.
Mas, el técnico no castigará a Vela ni mucho menos, es más, reconoce su valía, reconoce sus ganas de triunfar: “Es un guerrero”, dijo.
 



Artículo


Carlos Vela hace berrinche por salir de cambio en clásico de Los Angeles

Universal Deportes


El mexicano explotó cuando el técnico del LAFC lo retiró del campo minutos después de que había anotado el gol del empate ante el Galaxy 








“Claro, todos lo vieron, salió muy enojado del campo, pero no es tiempo de arriesgar, hay que ser inteligentes”, mencionó el ex entrenador de la selección estadounidense.
Reconoció en el atacante, “sus ganas de ganar siempre, es un gran competidor. Vimos que tenía algunas molestias, así que decidimos no arriesgarlo”.
Negó que el futbolista, que también es el capitán del equipo, lo haya insultado: “Sólo me dijo que quería seguir, que quería jugar y le expliqué que habrá otros partidos, que debemos de tomarlo con calma, y lo entendió”.
Carlos Vela fue sometido a una resonancia magnética para descartar un mayor problema en el isquiotibial derecho (parte trasera del muslo).
 



Opinión


¿Qué sería de Vela si le gustara el futbol?

Gustavo Calderón 


Entendamos que los medios de comunicación le hacemos mucho daño a los jugadores 







",Técnico del LAFC no castigará a Carlos Vela por su berrinche,http://www.eluniversal.com.mx/universal-deportes/futbol/bradley-no-castigara-vela-por-su-berrinche
"
CDMX.- En su primera reunión, el presidente Andrés Manuel López Obrador y el embajador de Estados Unidos en México, Christopher Landau, coincidieron en buscar buenas relaciones entre ambas naciones y dialogaron sobre los principales temas de la relación bilateral: xenofobia, el Tratado México, Estados Unidos y Canadá (T-MEC), el flujo migratorio y apoyo para Centroamérica.
De acuerdo con el canciller mexicano, Marcelo Ebrard, el embajador estadounidense –al entregar sus cartas credenciales al Jefe del Ejecutivo Federal- transmitió el mensaje de que el presidente de Estados Unidos, Donald Trump, busca una buena relación con México y respeta mucho al mandatario López Obrador.
Incluso está abierta la puerta, sin que todavía haya fecha definida, de una posible reunión entre ambos Jefes de Estado.
“Y el presidente López Obrador dijo que buscamos que, en un ámbito de respeto mutuo, podamos seguir avanzando en nuestras relaciones”, expuso.
Al concluir el encuentro en Palacio Nacional, el Canciller mexicano detalló que los temas principales entre el presidente y el embajador Landau fueron la migración de Centroamérica hacia Estados Unidos, la preocupación por el tema de xenofobia tras los asesinatos de un multihomicida en El Paso, Texas; así como la ratificación del T-MEC.
“En cuanto al tratado, (Landau) reitero que la disposición del gobierno de Estados Unidos es a respaldar el desarrollo del sur del país, incluso mencionó que, si el gobierno de México da autorización, su primera visita fuera de la Ciudad de México sería al sur, probablemente a Tabasco”, expuso.
En el tema de El Paso y el caso de xenofobia, ahondó Ebrard el presidente de México le hizo saber al embajador Landau que el gobierno mexicano está muy atento a lo que está ocurriendo, que saben que este caso va a ser decisivo para que no se repitan todo este tipo de hechos, para que quede claro que “Estados Unidos está en contra de eso, que se haga justicia pero que también haya un pronunciamiento más amplio en el sentido de que no se toleren estas conductas, estas actitudes”.
“El embajador dijo que entendía perfectamente ese planteamiento y le dijimos que México, como usted sabe, estamos trabajando varios recursos legales y vamos a seguir adelante en ellos, pero es importante que el gobierno de Estados Unidos manifieste claramente que está en contra”, expresó.
Afirmó que si la Fiscalía General de la República (FGR) considera que debe presentar cargos por terrorismo y el fiscal de distrito de Estados Unidos no lo hace (no presenta cargos de terrorismo), México estaría solicitando la extradición del multihomicida.
El canciller adelantó que el 10 de septiembre viajará Washington, Estados Unidos, a la reunión por los 90 días de haber comenzado el plan para reducir el flujo migratorio de Estados Unidos a Centroamérica, donde tocarán termas como despliegue de la Guardia Nacional, el programa 235 y la Inversión para Centroamérica.
 
","AMLO y Landau hablan de comercio, xenofobia y migración",http://www.eluniversal.com.mx/nacion/amlo-y-landau-dialogan-sobre-relacion-comercial-xenofobia-y-flujo-migratorio
"
El comandante del 14/o Cuerpo de de Caballería de la Defensa Rural, Víctor Manuel Maldonado Celis, fue asesinado a tiros este sábado en el municipio de Ziracuaretiro, Michoacán.
El mando de ese destacamento de la Secretaría de la Defensa Nacional murió derivado de un enfrentamiento registrado en una huerta de ese municipio, ubicado a 95 kilómetros de la capital del estado.
De acuerdo a los primeros reportes, aproximadamente a las 18:00 horas hubo un enfrentamiento en una huerta ubicada en los límites de San Andrés Coru y San Ángel Zurumucapio, a un costado de la carretera libre Uruapan- Pátzcuaro, en el que participaron varios elementos rurales. 
Debido a las lesiones que sufrió, el comandante fue trasladado en estado crítico a la ciudad de Uruapan, pero falleció en el trayecto. 
La carretera libre fue cerrada a la vialidad, mientras que elementos de diferentes corporaciones se hicieron presentes en el sitio.

jabf
","Asesinan a comandante de Defensa Rural en Ziracuaretiro, Michoacán",http://www.eluniversal.com.mx/estados/asesinan-comandante-de-defensa-rural-en-ziracuaretiro-michoacan
"
Mientras crecen los llamados internacionales para salvar la Amazonia, donde en lo que va del año se han registrado miles de incendios, la actitud y respuesta del gobierno de Brasil ha desatado más de una polémica. Estas son algunas de las frases que se han hecho virales:
“El Amazonas no es el pulmón del mundo. Eso ya se ha dicho y está reconocido. La Amazonia tiene su ciclo cerrado. Emite lo que ella misma consume... Es un patrimonio brasileño. Esa historia de que pertenece a la Humanidad es una bobería. Nosotros tenemos la soberanía sobre la Amazonia”: Ricardo Salles, ministro del Medio Ambiente.
Lee también: “Amazonas no pertenece a la humanidad... eso es una bobería”
“[El presidente francés, Emmanuel] Macron no está a la altura de este debate [sobre incendios en la Amazonia]. Es apenas un cretino oportunista que busca el apoyo del 'lobby' agrícola francés”: Abraham Weintraub, ministro de Educación.
“Incapaz de convencer a los brasileños, [el Foro de Sao Paulo] recurre a sus aliados de la prensa internacional y a la caja de resonancia de ambientalistas radicales, manipulados por décadas de propaganda, para atacar al país y cuestionar su soberanía”: Ernesto Araújo, canciller.
Sin duda, las que mayores reacciones han desatado son las del propio presidente Jair Bolsonaro:
“Quizás -y no lo estoy afirmando- estas personas [de las ONG] están llevando a cabo acciones criminales para atraer la atención en mi contra, contra el gobierno de Brasil”
“El gobierno brasileño permanece abierto al diálogo, basado en datos objetivos y respeto mutuo. La sugerencia del presidente francés [Emmanuel Macron] de que los asuntos amazónicos se discutan en el G7 sin la participación de los países de la región evoca una mentalidad colonialista equivocada en el siglo XXI”.



Galería


Así se ven los incendios forestales en la Amazonia brasileña desde las alturas

Mundo


Los incendios que se expanden en la Amazonía, con especial incidencia en Brasil pero también en Bolivia, disparan alarmas en el mundo por la importancia medioambiental del que es considerado como el mayor pulmón vegetal del planeta 








“Duele en el alma ver brasileños no observando la campaña fabricada contra nuestra soberanía en la región… los incendios forestales existen en todo el mundo y eso no puede servir de pretexto para posibles sanciones internacionales”, dijo en reacción a una protesta con cacerolazos por los incendios.
“No podemos dejar que un presidente, Macron, dispare ataques fuera de lugar y gratuitos contra la Amazonia, ni que disfrace sus intenciones detrás de la idea de una 'alianza' de los países del G7 para 'salvar' la Amazonia, como si fuésemos una colonia o tierra de nadie”, tuiteó, frente al compromiso del G7 de enviar ayuda por 20 millones de dólares para ayudar a combatir el fuego.
lsm
",Las polémicas frases del gobierno de Brasil ante los incendios en la Amazonia,http://www.eluniversal.com.mx/mundo/las-polemicas-frases-del-gobierno-de-brasil-ante-los-incendios-en-la-amazonia
"
La tragedia que vive México por la violencia, descomposición y muerte que hemos sufrido en los últimos 13 años ya no puede atribuirse a los errores de un solo gobernante. Si bien a Vicente Fox y a Felipe Calderón les debemos, al primero el vacío y debilitamiento del poder del Estado y al segundo la sangrienta guerra que acabó con la tranquilidad de los mexicanos, a Enrique Peña Nieto se le reclama el agravamiento de la violencia homicida y la corrupción que expandió a todo el territorio la atomización y diversificación de cárteles de drogas, huachicoleo, extorsión y control territorial; ahora a Andrés Manuel López Obrador ya se le puede y se le debe reclamar la inacción que mantiene contra el crimen organizado y a una estrategia federal errática y confusa que no deja claro si el gobierno federal persigue, negocia o tolera a los criminales.
Este fin de semana esa inacción y la fallida estrategia federal contra la delincuencia se observaron nuevamente en Michoacán, tanto en la extraña muerte de un coronel comandante de caballería del Ejército mexicano, Víctor Maldonado Celis, baleado en circunstancias aún no aclaradas en Ziracuaretiro, como en los hechos indignantes registrados en un video que se difundió en las redes sociales, donde se ve a un grupo de hombres de Los Reyes Michoacán agredir, ofender y humillar a soldados que son bajados de dos camionetas militares, arrinconados y sometidos en la carretera Zitácuaro-Los Reyes.
Y si a esos dos casos, se suma lo ocurrido el viernes en Nuevo Laredo, donde emboscaron y mataron al policía estatal Raúl M. e hirieron a otros agentes locales, mientras el gobernador de Tamaulipas culpó directamente al gobierno federal de un ataque que “pudo haberse evitado” y exigió que “la Federación debe comprometerse con la seguridad; es su responsabilidad”, crece la   percepción de un Estado que parece inerte y débil frente al despliegue cada vez más sangriento y armado de los cárteles del narcotráfico porque no se ve ni se siente que en el gobierno actual haya una acción y una estrategia decidida, eficaz y contundente contra la violencia y la inseguridad.
Para colmo, después del apodo de “Comandante Borolas” que el presidente Andrés Manuel López Obrador le pusiera a su antecesor en el cargo, Felipe Calderón, porque “el saco militar le quedaba grande”, ahora también en las redes circula un video que genera duros cuestionamientos al valor y a la política de seguridad del actual mandatario, pues en ella se escucha decir al jefe del Ejecutivo que no mandará al Ejército a una población para actuar contra los criminales que “también son pueblo”.
“No se dialoga con los agresores, se garantiza un derecho, manden al Ejército inmediatamente, no tenemos armas”, le dicen pobladores hombres y mujeres desesperados a López Obrador durante un trayecto de una gira. “El Ejército no se usa para reprimir al pueblo”, les contesta el presidente a bordo de su camioneta. “¡Carajo! ¿el narco es pueblo?”, le pregunta un hombre indignado. “Sí es pueblo, todos son seres humanos”, le dice enérgico el titular del Ejecutivo federal.
Si esa es la visión y la lógica que mueve a López Obrador y a su secretario de Seguridad, Alfonso Durazo, en su estrategia federal contra el crimen, entonces se puede entender por qué a 10 meses de iniciado este gobierno no sólo se han incrementado los homicidios violentos que en el primer semestre de este año llegaron a 17 mil 608 y crecieron casi 6% en relación al último año de Peña Nieto, sino también que a pesar de que la Guardia Nacional lleva ya casi dos meses de que comenzó a ser desplegada en todo el territorio nacional, no hay una disminución real ni perceptible de la violencia ni cesan las muestras y las evidencias que los cárteles del narco actúan con total impunidad y lo demuestran lo mismo en crímenes masivos con cuerpos que aparecen colgando o descuartizados en distintas regiones, en ataques y agresiones cobardes al Ejército y las policías locales, que en videos donde grupos como el CJNG se pasean con camionetas rotuladas y presumiendo su enorme poder armamentístico, sin que ninguna autoridad se los impida.
Si le tomamos la palabra al presidente, que esta misma semana nos dijo que ya no va a culpar de todo “a los gobiernos anteriores” y que de aquí en adelante “los grandes problemas son nuestra responsabilidad”, además de que no van “a negociar con criminales”, tendríamos que exigir que López Obrador y su gabinete de seguridad demuestren ya si tienen las agallas y la capacidad para enfrentar a un crimen cada vez más organizado, armado y sanguinario.
Y, sobre todo, si saben o no saben cómo hacerlo, más allá del discurso de que “violencia no se combate con más violencia” ¿Cómo los van a combatir entonces si tampoco están aplicando la inteligencia o el desmantelamiento de sus finanzas? Está bien que AMLO y su Cuarta Transformación quieran cambiar el modelo de combate al narcotráfico y al crimen, pero ese cambio hoy no se ve ni se siente en todo el país, donde lo que sí se ve, y se empieza a generalizar, es la percepción de un Estado, y por ende un presidente, débil ante los criminales y que confunde “represión” con su obligación primaria y apremiante, de dar seguridad a los mexicanos y pacificar al país, tal como lo prometió en campaña.
NOTAS INDISCRETAS…La renovación de la Mesa Directiva de la Cámara de Diputados se va a complicar porque en la bancada de Morena de plano no están convencidos de cederle al PAN la presidencia el próximo año. Por un lado, saben que la propuesta de Dolores Padierna, de quedarse de manera definitiva con la Presidencia no es del todo viable, porque desataría “un conflicto político mayor” al interior de San Lázaro, pues no sólo el PAN sino también el PRI se sentirían afectados, pero por otro lado, la mayoría morenista no confía en que un panista se quede al frente y menos para recibir y responder al primer informe del presidente López Obrador y se quejan de que “los blanquiazules se han portado muy hostiles y poco civilizados”. Así que lo más seguro es que, ante la falta de acuerdos esta semana, la decisión de nombrar a una nueva Mesa Directiva y a un nuevo presidente se retrase y Porfirio Muñoz Ledo, que es visto como un “tótem” de la Cuarta Transformación, se quede por unas semanas más en la Presidencia de la Cámara, hasta que bajen las aguas y se enfríen los ánimos para negociar con las bancadas de oposición…Se baten los dados. Escalera doble. La semana promete. 
[email protected]
",Del “Comandante Borolas” a “El narco es pueblo”,https://www.eluniversal.com.mx/opinion/salvador-garcia-soto/del-comandante-borolas-el-narco-es-pueblo
"El Partido de la Revolución Democrática (PRD), que en algún momento fue la tercera fuerza política a nivel estatal y que hoy no cuenta con registro local por la baja votación que alcanzó en el pasado proceso electoral, trabaja en su reestructuración para recuperar la confianza del electorado, dijo su presidente Adolfo Camacho Esquivel en entrevista para EL UNIVERSAL Querétaro, quien señala que el instituto político está llamado a ser una oposición propositiva y crítica frente al gobierno de Andrés López Obrador.
A más de un año del proceso electoral de 2018, ¿qué están haciendo en el PRD estatal?
—Después de la elección de julio del año pasado, el partido, tanto a nivel nacional como en el estado de Querétaro, entró en una serie de reflexiones de varios temas, como las alianzas que tuvimos, el resultado que se logró, por qué mayoritariamente los electores tomaron decisión a favor de una fuerza política de una propuesta que hoy gobierna la República.
Tuvimos reuniones nacionales para analizar estos temas. También, a nivel local, estuvimos en un diálogo permanente y en recorridos frecuentes los municipios con sus dirigentes, sobre todo, sacando conclusiones que nos permitan generar una ruta de trabajo que garantice una mejor participación del partido en tiempos futuros.
Hoy se pretende tener la generosidad desde el PRD [como fue en 1988] para ponerlo a disposición de la sociedad, abrirlo de manera completa para que todos aquellos sectores que hoy no están conformes con lo que pasa desde la Presidencia de la República, pero que tampoco simpatizan con otros partidos de derecha, vean en el PRD una posibilidad de construir algo mucho más fuerte que el propio partido político, una fuerza política que pueda incluir a aquellas organizaciones políticas, sociales y sectoriales en este nuevo proyecto que se está formando para participar en 2021.
Vamos a buscar, en un futuro cercano, también mucho diálogo con sectores organizados, organizaciones empresariales de jóvenes, de mujeres, de académicos y sectores sindicales para que conozcan este nuevo proyecto del PRD e invitarlos a que se sumen, los que así deseen hacerlo, buscar candidaturas para 2021… por estatutos, tenemos que destinar un porcentaje a candidaturas externas, pero hoy se pretende quitar ese candado, dejarlo en total libertad y que puedan venir los queretanos, los mexicanos interesados en aportar y hacer cosas para ayudar al desarrollo social del estado y del país. La idea es desideologizar esta propuesta.
¿De qué manera responden los ciudadanos a estas convocatorias, luego de que muchos se decepcionaron del PRD por la alianza hecha con el PAN en 2018?
—Estamos en un proceso de afiliación y refrendo de militancia en todo el país y nos hemos encontrado con muy buena respuesta, de que mucha gente que militaba en el partido y que consideramos que había tomado otra ruta, que ya no estaría con nosotros, han estado refrendando su militancia.
El partido, a nivel nacional, tenía la idea de que medio millón de mexicanos pudiera refrendar la militancia y la verdad es que esa cifra ya se rebasó. No tenemos un número preciso, pero nos han informado que esa cifra ya se rebasó y que, a ese ritmo de aceptación, se tendrá el doble o más de lo que se esperaba. Gente que identificamos en el proceso de 2018 que se sumó a otros proyectos de otras fuerzas políticas se han acercado a refrendar militancia.
Sucedió en municipios como Pedro Escobedo, en comunidades rurales de Querétaro, Amealco, Huimilpan, Corregidora, San Juan del Río. Todo eso lo hemos detectado y nos genera confianza en el trabajo y que la mística del partido sigue teniendo simpatías en la sociedad.
Se debatirá al interior del partido la oportunidad de ir solos en 2021, tanto en el nivel federal como en los locales, buscando recuperar esa confianza del elector en una izquierda progresista, propositiva, argumentada, que el PRD a través de este proyecto y en conjunto con otras organizaciones pudiéramos elaborar y presentar.
¿Cómo ve la administración de López Obrador, a poco más de medio año en el poder?
—Para ser objetivo, es difícil definir este gobierno federal de López Obrador. Sin duda, hay muchas decisiones equivocadas que están teniendo impacto negativo en el país. Una de ellas, creo que todos los sectores sociales, salvo los aplaudidores de López Obrador y de Morena, pero creo que todo mundo coincide que fue una equivocación cancelar una obra tan importante como el Aeropuerto de la Ciudad de México.
La señal que se manda al sector empresarial, al sector que invierte en nuestro país, tanto nacionales como extranjeros, se ha reflejado en pérdida de empleos.
Los datos que nos dan las instituciones es que no ha habido crecimiento, no ha habido generación de empleos por decisiones como esta y muchas otras que han generado incertidumbre.
Si hablamos de temas prioritarios, como apoyo y destino de recursos a sectores como la salud, hace que hoy existan más deficiencias que las que se tenían hace siete meses en los hospitales. Casos muy sonados, como sacar cadáveres en una sábana por las escaleras, aquí en el ISSSTE.
Hoy creo que se están dando grandes retrocesos, al menos así se aprecia… creo que se están tomando decisiones al capricho, al vapor, sin sustento, sin análisis de la realidad y aquí lo grave es que el impacto negativo que tengan no se va a recuperar. Esto hace que el gobierno esté generando una decepción de muchos mexicanos que le dieron la confianza.
 
","“Tras perder registro, el PRD se reestructura”",http://www.eluniversalqueretaro.mx/portada/tras-perder-registro-el-prd-se-reestructura
